"","Region","Zone","Type","Year","Season","Month","Day","Hour","Latitude","Longitude","Altitude","t2m","ws","wd","tp","blh","ssr","CVD60","no2","o3","so2","co","pm10","pm2.5"
"1","North East","Greater London Urban Area","Background Urban","1990","Spring","08","24","10",53.6551787108237,-2.30554410657317,-86.2581004635579,290.653359096215,1.80018708405131,195.554055095134,-0.00145860747186498,662.280367747126,2786010.77009965,0.181561226198912,79.2522907834317,15.6514034478312,17.0222543714902,1.86124473235446,36.4821645561196,18.6449282612062
"2","Greater London Authority","Greater Manchester Urban Area","Background Urban","1990","Spring","06","18","15",52.1691782886789,1.24836662580736,51.2736027124105,289.744458807257,7.22474840153072,203.481737666202,0.000468634435692037,1087.73542431662,6089508.95865171,0.130838425408532,73.3057540848729,17.7369951219157,13.8155164331057,1.44097805213861,36.4778729795131,18.6445085530753
"3","North West","West Midlands Urban Area","Background Suburban","2000","Spring","03","26","04",53.3421709062331,0.15095661300638,81.6562161485003,276.180577752413,2.47451922893525,70.9462045894853,-0.000359068029732848,278.192857701042,-22.277095244579,0.175085561719513,45.9002903769145,17.3243751055423,7.00737682612239,1.71533265932731,31.4535381651675,18.6004524730526
"4","Yorkshire and The Humber","South West","Background Urban","1998","Summer","12","18","15",52.9704421573382,-2.01746609000345,206.267722712416,285.468387841189,10.0720112488737,237.971974638829,-0.00283597387456591,1218.67858785214,3292414.42881212,0.259490093064214,93.176742885238,44.687525163414,3.6905595589763,0.860157529648096,29.3122687029501,18.6359240898928
"5","West Midlands","Greater Manchester Urban Area","Background Urban","1987","Fall","11","16","06",55.6963236234178,-1.46949507857804,-30.5249311402949,281.412063023816,8.22249704235856,248.049340550927,0.00124370961396856,637.860268341461,-43359.5391918771,0.176599115865039,84.4958074060256,17.7470731614213,13.8141524335241,1.44247088985418,36.4700480925325,18.6380829478704
"6","North East","Greater London Urban Area","Background Urban","1984","Spring","04","22","16",52.3898300280065,0.207753771012657,57.3718667277676,286.463767513694,5.27969578533146,117.011402225848,0.000212609003822475,-348.640622976403,718926.638482492,0.204925765133015,76.3138055626637,17.7467951119968,13.8183137605113,1.45515806927076,36.4818285724545,18.6395763541528
"7","South West","Bristol Urban Area","Background Urban","1987","Summer","05","10","15",51.4220003820113,-2.46870741392208,72.8659736631501,287.104483226635,1.486493948213,23.3683316713601,0.000727158066785149,1929.24967342736,8301646.20628354,0.181392769110329,76.3255700587509,17.7258890998484,13.8123105412727,1.44264608904072,36.4925016594222,18.6389118046105
"8","North West","South West","Background Urban","1990","Winter","03","19","02",52.3989637404987,1.62245960467609,-5.15797592457362,277.20472916088,3.24629769761459,238.365313931437,0.000149799696128544,522.328119506971,2336452.25635779,0.19865352453419,76.4455242855101,17.7733441794684,13.8126084733523,1.44277916172562,36.4843955682226,18.6449206398095
"9","South East","Liverpool Urban Area","Traffic Urban","1986","Winter","11","30","05",52.0405294924116,-1.21342169412707,180.176593151818,281.18306814154,5.3511987463996,198.521707434257,-0.000226854284517677,490.172460645328,48235.1076837978,0.165657767649978,76.3367053008635,17.7916997256132,13.7928541776372,1.44375319012348,36.4625307065072,18.6401558335071
"10","Yorkshire and The Humber","West Yorkshire Urban Area","Background Urban","1991","Fall","09","28","13",52.3609852734266,-2.33087884328125,66.5079172529283,285.359282623819,9.22113991284557,71.0501999171076,0.00212782165194453,1866.92680859314,6812246.28476442,0.151942311131051,76.3816154973279,17.7324750078139,13.8107718117524,1.43955825898987,36.4713913286988,18.6459638047802
