Treatment,SproutN,BunchN,GrapeW,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph
T8b,-0.0242918698116601,-0.586965886338321,-0.899763562367521,0.0337490912754774,0.103224903492675,-0.0860611982641429,0.0179002008239658,-0.169744723034525,0.0634731526159714,0.0027194044235571,0.0636633597099472,0.0125668515298573,0.125653730081429,0.183070178559029
T2b,0.0500407013569532,-0.183172932793356,-0.0602562581965675,0.392190073389796,0.265599753291409,0.161536425289526,0.209129092319144,0.0376666741456564,-0.292479888097914,0.0912494116892568,0.0486196357503288,0.117320710307096,-0.250286462617717,-0.0668471329500763
T7b,0.290626058482264,1.1027168440751,1.11964186319072,0.121321751135018,0.0243259737505235,0.15033480148972,0.0857809800434746,0.185094148509244,0.0053251368890568,-0.276570866487162,-0.023623591955458,-0.0117581262025239,0.064647001826651,0.367146414893159
T4b,-0.0931011389750051,-0.598244291222263,-0.576036994992546,-0.0519834038884,-0.125208552066299,0.0436623810527821,0.0885728724572886,0.0458762203992808,-0.0961884873390178,-0.164705675412022,0.0409659240179503,0.016691415708547,0.24973850006766,-0.192147067041811
T6b,0.0362383596109398,-0.282621651930395,-0.527552050959976,-0.286420428603783,-0.0324824948256512,-0.157269239586358,-0.0416376272162529,-0.403866303118955,-0.0390833904094786,0.0360174279757262,-0.0199576033725839,0.0157457811417273,0.107479005031878,0.155336965305252
T8b,0.147062170836848,-0.754523884259766,0.195945572000959,0.755817681882783,0.0837171613204468,0.131686598774316,0.0596126559771578,-0.060505722074324,-0.0935328192707734,-0.0024024284444023,-0.0757938719009758,0.031563531091536,-0.820814530301463,-0.636614515416928
T3b,-0.0931479519868694,0.33797827267246,-0.268430642227497,-0.0551799063231058,-0.143343374609543,-0.103990148052913,-0.132313368344028,-0.283802255844246,0.32935858975092,0.21239458325943,-0.053156982444977,-0.0769915475463323,0.807892364088928,0.515188583895533
T8b,0.287628875781487,0.685685806747704,0.320765110127751,0.0428728180126195,-0.240913331035353,0.121671330030558,-0.136374879501438,0.102354522065804,0.0614851634050699,-0.306164563548494,0.198864853939803,0.0059998321428096,0.266897103775527,0.0326841521187742
T3b,0.0467481859706053,0.0643267172321456,0.482579744033354,-0.0513533038980336,-0.0627835793879455,0.0626417916006574,0.0334932669122671,-0.0363940695798735,0.0544078621838608,-0.120320302170224,-0.0534748636673117,-0.0020356690322604,-0.519550175229114,-0.39896733580243
T5b,0.335082033642988,0.0656911369939588,0.343189457773409,0.385806292980838,0.139010559115744,0.14369664174604,0.112217086958981,0.0380277614805939,-0.274611654346707,-0.0843220921681451,-0.212687035731859,0.0139598605715641,-0.138510453180175,-0.243297270400751
