Region,Zone,Type,Year,Season,Month,Day,Hour,Latitude,Longitude,Altitude,t2m,ws,wd,tp,blh,ssr,CVD60,no2,o3,so2,co,pm10,pm2.5
West Midlands,Sheffield Urban Area,Background Suburban,2000,Spring,11,7,13,52.0555338092366,-2.47488716834341,76.3587427470411,281.458987620758,7.92389448811938,350.625808612114,9.92996909928187e-05,995.026360841909,2392786.83614607,0.234005231148445,84.1812799672469,-2.87450180736636,22.3093150409126,1.04610502018588,29.1641922011292,18.6466273526251
Yorkshire and The Humber,Reading/Wokingham Urban Area,Traffic Urban,1991,Winter,6,8,16,53.6929252541803,-2.20097012440066,85.7691762995871,283.567951708408,5.03000632068593,364.436157675886,8.5686230267364e-05,2168.18763976615,4990256.91093344,0.187091839203842,78.0083845885938,23.0619375649222,8.75618325948605,1.26979421570832,39.0509962593057,18.6355180800013
North West,North West & Merseyside,Traffic Urban,1982,Winter,2,30,16,54.1624000902073,-3.09267157063509,135.596926570053,275.730416740734,1.25429698234762,229.705660002725,0.0003367770518901,207.879410449733,844341.43505195,0.269858251555807,76.3757312269738,17.7480571432594,13.8144998978292,1.44094925298138,36.4719622545229,18.6369167633744
North West,North East,Traffic Urban,1990,Winter,6,7,9,51.4941185524165,0.615275690590365,202.660467974882,290.626712166353,8.12534469158891,244.61233783253,0.0016228134895118,1175.09713401979,885587.719866628,0.184649446759283,76.3989234454515,17.7462269190857,13.8170491766713,1.44135792684664,36.4832018689956,18.6447612397012
Yorkshire and The Humber,Brighton/Worthing/Littlehampton,Background Urban,2000,Winter,9,14,4,51.3564177231007,-2.01769552326305,-58.599395047519,286.20773663792,1.02074588264705,236.139296083644,0.0004860856381571,157.006652509798,-5.24042887317639,0.218136190769335,76.3239291093651,17.7526011782957,13.7735737759677,1.37818532445535,36.4679216035149,18.6464760603989
North West,Eastern,Background Rural,1993,Spring,7,4,5,52.4071308264273,-1.74509732675829,84.9564712773408,285.956546097108,2.97733687199594,308.600321540525,0.0010190181199682,326.83246675896,137490.883892967,0.208490503645743,76.3067781553303,36.3805586798349,13.8046596859962,1.44100375864122,36.4739967263416,18.6408991342736
South East,Eastern,Background Urban,1986,Spring,7,14,11,51.5891169032619,0.151008082751876,186.358575857353,287.989710925657,2.10542867376582,286.360846560084,0.001307500791147,554.880313650735,2568378.80402057,0.209152774461619,76.3812633476725,17.7626647410113,13.8076302610429,1.44133088648985,36.4827043111924,18.6412718555033
North West,Greater London Urban Area,Background Rural,1994,Summer,3,4,7,50.7414852926646,-0.552679803305681,80.7136981107266,282.088536515501,8.83272171643507,206.331681584796,0.0001497285056634,990.046799252056,-97858.0720445688,0.212966681767637,81.5833679496319,30.8257739164474,22.4271199089506,1.27350707999752,35.6293319969892,18.6433052683298
South East,Greater London Urban Area,Industrial Urban,1999,Spring,7,8,22,50.8129419852532,-0.868937678789157,104.37989138601,291.92415327015,1.74083781668916,63.2934167049498,0.000349659631804,-251.432148275636,11242402.6681443,0.190090877292337,76.3061822890792,17.7363544584092,13.8053164825273,1.35807569577509,36.3685470607942,21.9850891172112
Yorkshire and The Humber,Reading/Wokingham Urban Area,Background Urban,1997,Fall,8,16,4,54.5229519718813,-1.55654258761591,72.3059186550805,289.248450549928,4.21515865209789,148.154269925866,0.0006610211847907,398.599758935777,-0.166476579427034,0.188847528751439,68.9358541424305,17.4970757267523,10.6672273752023,0.700250661113666,30.9208980208155,18.6408296719675
